Log file created successfully...
Initialization succeded
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 259 , size[23][2] = 217 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 262 , size[23][2] = 218 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 265 , size[23][2] = 219 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 268 , size[23][2] = 220 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 271 , size[23][2] = 221 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 274 , size[23][2] = 222 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 277 , size[23][2] = 223 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 280 , size[23][2] = 224 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 283 , size[23][2] = 225 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 286 , size[23][2] = 226 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 289 , size[23][2] = 227 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 292 , size[23][2] = 228 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 295 , size[23][2] = 229 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 298 , size[23][2] = 230 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 301 , size[23][2] = 231 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 304 , size[23][2] = 232 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 307 , size[23][2] = 233 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 310 , size[23][2] = 234 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 313 , size[23][2] = 235 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 316 , size[23][2] = 236 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 319 , size[23][2] = 237 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 322 , size[23][2] = 238 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 325 , size[23][2] = 239 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 328 , size[23][2] = 240 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 331 , size[23][2] = 241 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 334 , size[23][2] = 242 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 337 , size[23][2] = 243 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 340 , size[23][2] = 244 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 343 , size[23][2] = 245 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 346 , size[23][2] = 246 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 349 , size[23][2] = 247 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 352 , size[23][2] = 248 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 355 , size[23][2] = 249 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 358 , size[23][2] = 250 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 361 , size[23][2] = 251 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 364 , size[23][2] = 252 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 367 , size[23][2] = 253 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 370 , size[23][2] = 254 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 373 , size[23][2] = 255 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 376 , size[23][2] = 256 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 379 , size[23][2] = 257 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 382 , size[23][2] = 258 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 385 , size[23][2] = 259 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 388 , size[23][2] = 260 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 391 , size[23][2] = 261 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 394 , size[23][2] = 262 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 397 , size[23][2] = 263 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 400 , size[23][2] = 264 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 403 , size[23][2] = 265 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 406 , size[23][2] = 266 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 409 , size[23][2] = 267 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 412 , size[23][2] = 268 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 415 , size[23][2] = 269 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 418 , size[23][2] = 270 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 421 , size[23][2] = 271 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 424 , size[23][2] = 272 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 427 , size[23][2] = 273 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 430 , size[23][2] = 274 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 433 , size[23][2] = 275 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 436 , size[23][2] = 276 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 439 , size[23][2] = 277 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 442 , size[23][2] = 278 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 445 , size[23][2] = 279 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 448 , size[23][2] = 280 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 451 , size[23][2] = 281 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 454 , size[23][2] = 282 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 457 , size[23][2] = 283 
